byte_received, byte_sent, num_read_events, num_write_events, num_disconnects
667434240, 87242496, 11032, 10776, 0
5246394208, 759250976, 94134, 93781, 0
5311113632, 764100480, 94670, 94380, 0
5290185472, 752345088, 93140, 92928, 0
5424376672, 769362880, 95221, 95030, 0
5386114976, 762902272, 94434, 94232, 0
5423397056, 767646528, 95008, 94818, 0
5326957504, 761404512, 94254, 94047, 0
5431298752, 765387744, 94715, 94539, 0
5283141952, 755866848, 93552, 93363, 0
5375371584, 766998848, 94948, 94738, 0
5355034432, 759688160, 94024, 93835, 0
5418636608, 764756256, 94604, 94461, 0
5267597632, 750531584, 92923, 92704, 0
5412354112, 760295360, 94085, 93910, 0
5265735552, 757194592, 93734, 93527, 0
5350087776, 758125632, 93829, 93642, 0
5347440384, 761210208, 94224, 94023, 0
5417770336, 766845024, 94878, 94719, 0
5301098880, 760562528, 94135, 93943, 0
5416555936, 766675008, 94878, 94698, 0
5312449472, 760773024, 94157, 93969, 0
5414078560, 764683392, 94636, 94452, 0
5339643936, 759591008, 94043, 93823, 0
5400015808, 767306496, 94997, 94776, 0
5320780256, 765031520, 94673, 94495, 0
5388292800, 765525376, 94764, 94556, 0
5388713792, 767395552, 95011, 94787, 0
5321614144, 762157440, 94365, 94140, 0
5404930080, 769006656, 95197, 94986, 0
5354330080, 761169728, 94253, 94018, 0
5393231360, 765460608, 94756, 94548, 0
5169887008, 750895904, 92992, 92749, 0
5423243232, 781110176, 96705, 96481, 0
5331912256, 766764064, 94976, 94709, 0
5413851872, 781142560, 96840, 96485, 0
5370068704, 773305632, 95796, 95517, 0
5411803584, 782041216, 96883, 96596, 0
5301746560, 773143712, 95804, 95497, 0
