done writing
done reading
done reading
done writing
8096 bytes | received 8096 bytes
wrote 16192 bytes | received 8096 bytes
wrote 16192 bytes | received 16192 bytes
wrote 24288 bytes | received 16192 bytes
wrote 24288 bytes | received 24288 bytes
wrote 32384 bytes | received 24288 bytes
wrote 32384 bytes | received 32384 bytes
wrote 40480 bytes | received 32384 bytes
wrote 40480 bytes | received 40480 bytes
wrote 48576 bytes | received 40480 bytes
wrote 48576 bytes | received 48576 bytes
wrote 56672 bytes | received 48576 bytes
wrote 64768 bytes | received 48576 bytes
wrote 72864 bytes | received 48576 bytes
wrote 72864 bytes | received 56672 bytes
wrote 72864 bytes | received 64768 bytes
wrote 72864 bytes | received 72864 bytes
wrote 80960 bytes | received 72864 bytes
wrote 89056 bytes | received 72864 bytes
wrote 97152 bytes | received 72864 bytes
wrote 105248 bytes | received 72864 bytes
wrote 105248 bytes | received 80960 bytes
wrote 105248 bytes | received 89056 bytes
wrote 105248 bytes | received 97152 bytes
wrote 105248 bytes | received 105248 bytes
wrote 113344 bytes | received 105248 bytes
wrote 121440 bytes | received 105248 bytes
wrote 121440 bytes | received 113344 bytes
wrote 121440 bytes | received 121440 bytes
wrote 129536 bytes | received 121440 bytes
wrote 137632 bytes | received 121440 bytes
wrote 137632 bytes | received 129536 bytes
wrote 137632 bytes | received 137632 bytes
wrote 145728 bytes | received 137632 bytes
wrote 153824 bytes | received 137632 bytes
wrote 153824 bytes | received 145728 bytes
wrote 153824 bytes | received 153824 bytes
wrote 161920 bytes | received 153824 bytes
wrote 170016 bytes | received 153824 bytes
wrote 170016 bytes | received 161920 bytes
wrote 170016 bytes | received 170016 bytes
wrote 178112 bytes | received 170016 bytes
wrote 178112 bytes | received 178112 bytes
wrote 186208 bytes | received 178112 bytes
wrote 186208 bytes | received 186208 bytes
wrote 194304 bytes | received 186208 bytes
wrote 194304 bytes | received 194304 bytes
wrote 202400 bytes | received 194304 bytes
wrote 202400 bytes | received 202400 bytes
wrote 210496 bytes | received 202400 bytes
wrote 210496 bytes | received 210496 bytes
wrote 218592 bytes | received 210496 bytes
wrote 218592 bytes | received 218592 bytes
wrote 226688 bytes | received 218592 bytes
wrote 226688 bytes | received 226688 bytes
wrote 234784 bytes | received 226688 bytes
wrote 234784 bytes | received 234784 bytes
wrote 242880 bytes | received 234784 bytes
wrote 242880 bytes | received 242880 bytes
wrote 250976 bytes | received 242880 bytes
wrote 250976 bytes | received 250976 bytes
wrote 259072 bytes | received 250976 bytes
wrote 259072 bytes | received 259072 bytes
wrote 267168 bytes | received 259072 bytes
wrote 267168 bytes | received 267168 bytes
wrote 275264 bytes | received 267168 bytes
wrote 275264 bytes | received 275264 bytes
wrote 283360 bytes | received 275264 bytes
wrote 283360 bytes | received 283360 bytes
wrote 291456 bytes | received 283360 bytes
wrote 291456 bytes | received 291456 bytes
wrote 299552 bytes | received 291456 bytes
wrote 299552 bytes | received 299552 bytes
wrote 307648 bytes | received 299552 bytes
wrote 307648 bytes | received 307648 bytes
wrote 315744 bytes | received 307648 bytes
wrote 315744 bytes | received 315744 bytes
wrote 323840 bytes | received 315744 bytes
wrote 323840 bytes | received 323840 bytes
wrote 331936 bytes | received 323840 bytes
wrote 331936 bytes | received 331936 bytes
wrote 340032 bytes | received 331936 bytes
wrote 340032 bytes | received 340032 bytes
wrote 348128 bytes | received 340032 bytes
wrote 348128 bytes | received 348128 bytes
wrote 356224 bytes | received 348128 bytes
wrote 356224 bytes | received 356224 bytes
wrote 364320 bytes | received 356224 bytes
wrote 364320 bytes | received 364320 bytes
wrote 372416 bytes | received 364320 bytes
wrote 372416 bytes | received 372416 bytes
wrote 380512 bytes | received 372416 bytes
wrote 380512 bytes | received 380512 bytes
wrote 388608 bytes | received 380512 bytes
wrote 388608 bytes | received 388608 bytes
wrote 396704 bytes | received 388608 bytes
wrote 396704 bytes | received 396704 bytes
wrote 404800 bytes | received 396704 bytes
wrote 404800 bytes | received 404800 bytes
wrote 412896 bytes | received 404800 bytes
